1-13  就业基本情况,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Employment,,,,,,,,,,,,,
,,,,,,,,,,,,,
项    目,Item,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022
,,,,,,,,,,,,,
劳动力(万人),  Labour Force (10 000 persons),78349.0,78431.0,78604.0,78757.0,78921.0,79282.0,79042.0,78653.0,78985.0,78392.0,78024.0,76863
就业人员合计(万人),  Total Number of Employed Persons (10 000 persons),76196.0,76254.0,76301.0,76349.0,76320.0,76245.0,76058.0,75782.0,75447.0,75064.0,74652.0,73351
  第一产业,      Primary Industry,26472.0,25535.0,23838.0,22372.0,21418.0,20908.0,20295.0,19515.0,18652.0,17715.0,17072.0,17663
  第二产业,      Secondary Industry,22539.0,23226.0,23142.0,23057.0,22644.0,22295.0,21762.0,21356.0,21234.0,21543.0,21712.0,21105
  第三产业,      Tertiary Industry,27185.0,27493.0,29321.0,30920.0,32258.0,33042.0,34001.0,34911.0,35561.0,35806.0,35868.0,34583
就业人员构成(合计=100),  Composition of Employed Persons (total=100),,,,,,,,,,,,
  第一产业,      Primary Industry,34.7,33.5,31.3,29.3,28.0,27.4,26.7,25.7,24.7,23.6,22.9,24.1
  第二产业,      Secondary Industry,29.6,30.4,30.3,30.2,29.7,29.3,28.6,28.2,28.2,28.7,29.1,28.8
  第三产业,      Tertiary Industry,35.7,36.1,38.4,40.5,42.3,43.3,44.7,46.1,47.1,47.7,48.0,47.1
按城乡分就业人员(万人),  Number of Employed Persons by Urban and,,,,,,,,,,,,
,    Rural Areas (10 000 persons),,,,,,,,,,,,
 城镇就业人员,  Urban Employed Persons,36003.0,37287.0,38527.0,39703.0,40916.0,42051.0,43208.0,44292.0,45249.0,46271.0,46773.0,45931
 乡村就业人员,  Rural Employed Persons,40193.0,38967.0,37774.0,36646.0,35404.0,34194.0,32850.0,31490.0,30198.0,28793.0,27879.0,27420
按登记注册类型分城镇非私,Number of Employed Persons in Urban Non-private,,,,,,,,,,,,
 营单位就业人员(万人),  Units by Status of Registration (10 000 persons),,,,,,,,,,,,
 #国有单位,      State-owned Units,6704.0,6839.0,6365.0,6312.0,6208.0,6170.0,6064.0,5740.0,5473.0,5563.0,5633.0,5612
  城镇集体单位,      Urban Collective-owned Units,603.0,589.0,566.0,537.0,481.0,453.0,406.0,347.0,296.0,271.0,262.0,235
  股份合作单位,      Cooperative Units,149.0,149.0,108.0,103.0,92.0,86.0,77.0,66.0,60.0,69.0,62.0,58
  联营单位,      Joint Ownership Units,37.0,39.0,25.0,22.0,20.0,18.0,13.0,12.0,12.0,25.0,22.0,19
  有限责任公司,      Limited Liability Corporations,3269.0,3787.0,6069.0,6315.0,6389.0,6381.0,6367.0,6555.0,6608.0,6542.0,6526.0,6506
  股份有限公司,      Share-holding Corporations Ltd.,1183.0,1243.0,1721.0,1751.0,1798.0,1824.0,1846.0,1875.0,1879.0,1837.0,1789.0,1684
  港澳台商投资单位,"      Units with Funds from Hong Kong, Macao & Taiwan",932.0,969.0,1397.0,1393.0,1344.0,1305.0,1290.0,1153.0,1157.0,1159.0,1175.0,1114
  外商投资单位,      Foreign Funded Units,1217.0,1246.0,1566.0,1562.0,1446.0,1361.0,1291.0,1212.0,1203.0,1216.0,1220.0,1164
城镇登记失业人数(万人),  Number of Registered Unemployed Persons,922.0,917.0,926.0,952.0,966.0,982.0,972.0,974.0,945.0,1160.0,1040.0,1203
,     in Urban Areas  (10 000 persons),,,,,,,,,,,,
城镇登记失业率(%),  Registered Unemployment Rate in Urban,4.1,4.1,4.05,4.09,4.05,4.02,3.9,3.8,3.62,4.24,3.96,-
2013,51.4,638.7,799.0,674.4,1561.5,1581.1,5.1,1491.7
2014,53.6,659.4,799.6,622.9,1413.5,1476.6,4.9,1527.2
2015,55.2,680.9,797.7,567.9,1417.6,1437.3,5.3,1590.3
2016,56.4,704.2,792.4,533.6,1423.9,1507.4,5.9,1623.2
2017,57.8,735.8,775.7,496.9,1397.5,1565.9,6.9,1652.7
2018,60.4,753.3,779.2,487.3,1367.8,1616.5,8.1,1790.6
2019,64.0,758.5,789.2,493.5,1454.1,1647.9,9.8,1765.2
2020,72.9,797.2,786.5,484.9,1535.3,1640.3,12.1,1779.4
2021,77.3,826.5,780.2,375.4,1587.1,1718.0,14.6,1714.8
2022,86.2,967.3,824.1,399.3,1623.9,1740.6,15.9,1678.3
,     Areas (%),,,,,,,,,,,,
城镇调查失业率(%), Surveyed Urban Unemployment Rate (%),,,,,,,,4.9,5.2,5.2,5.1,5.5
,,,,,,,,,,,,,
,,,,,,,,,,,,,
注：1.1990年及以后的劳动力、就业人员数据根据劳动力调查、全国人口普查推算；其中2011-2019年数据是根据第七次全国人口普查修,,,,,,,,,,,,,
      订数(下表同)。,,,,,,,,,,,,,
    2. 2013年部分经济类型单位、部分行业就业人员、工资总额变动较大，系将原属于乡镇企业的规模以上法人单位纳入劳动工资统计,,,,,,,,,,,,,
      范围所致(以下相关表同)。,,,,,,,,,,,,,
    3. 2022年起人力资源和社会保障部不再发布城镇登记失业率数据。,,,,,,,,,,,,,
"Notes: a) From 1990, the total number of labour force and employed persons were estimated according to Labour Force Survey and Population Census.",,,,,,,,,,,,,
              The data from   2011 to 2019 were revised according to the Seventh National Population Census.The same applies to the following tables.,,,,,,,,,,,,,
"          b) In 2013, some units by status of registration, some employment by industry, total wages bill changed greatly, because legal persons above",,,,,,,,,,,,,
              designated size originally belonged to township enterprises were taken into statistics of labour wages. The same applies to the relevant tables ,,,,,,,,,,,,,
              following.,,,,,,,,,,,,,
"          c) Since 2022, the Minisitry of Human Rescources and Social Security has no longer released Registered Unemployment Rate in Urban Areas.",,,,,,,,,,,,,
