1-16  分地区就业人员数(2022年底数),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Number of Employed Persons by Region(End of 2022),,,,,,,
,,,,,,,
单位：万人,,,,,,,(10 000 persons)
地  区,Region,就业人员,按城乡分,,按三次产业分,,
,,,By Urban and Rural Areas,,By Three Industries,,
,,Employed,城镇,乡村,第一产业,第二产业,第三产业
,,Persons,Urban,Rural,Primary,Secondary,Tertiary
,,,,,Industry,Industry,Industry
,,,,,,,
 全国,  National Total,73351,45931,27420,17663,21105,34583
,,,,,,,
 北京,  Beijing       ,1132,991,141,25,186,921
 天津,  Tianjin       ,621,518,103,33,214,374
 河北,  Hebei         ,3580,2103,1477,820,1121,1639
 山西,  Shanxi        ,1672,987,685,414,431,827
 内蒙古,  Inner Mongolia,1190,739,451,439,206,545
,,,,,,,
 辽宁,  Liaoning      ,2122,1425,697,634,464,1024
 吉林,  Jilin         ,1185,681,504,479,171,535
 黑龙江,  Heilongjiang  ,1351,844,507,518,204,629
,,,,,,,
 上海,  Shanghai      ,1347,1179,168,21,439,887
 江苏,  Jiangsu       ,4805,3509,1296,626,1951,2228
 浙江,  Zhejiang      ,3885,2819,1066,203,1726,1956
 安徽,  Anhui         ,3176,1790,1386,790,1020,1366
 福建,  Fujian        ,2174,1507,667,299,721,1154
 江西,  Jiangxi       ,2193,1309,884,403,761,1029
 山东,  Shandong      ,5338,3297,2041,1284,1804,2250
,,,,,,,
 河南,  Henan         ,4782,2573,2209,1320,1356,2106
 湖北,  Hubei         ,3243,1897,1346,928,846,1469
 湖南,  Hunan         ,3219,1881,1338,785,875,1559
 广东,  Guangdong     ,6904,5389,1515,722,2524,3658
 广西,  Guangxi       ,2508,1331,1177,857,635,1016
 海南,  Hainan        ,531,316,215,173,58,300
,,,,,,,
 重庆,  Chongqing     ,1644,1087,557,389,414,841
 四川,  Sichuan       ,4706,2508,2198,1602,1074,2030
 贵州,  Guizhou       ,1878,981,897,693,444,741
 云南,  Yunnan        ,2735,1281,1454,1225,478,1032
 西藏,  Tibet         ,192,75,117,71,29,92
,,,,,,,
 陕西,  Shaanxi       ,2066,1236,830,649,431,986
 甘肃,  Gansu         ,1307,618,689,614,227,466
 青海,  Qinghai       ,256,157,99,72,55,129
 宁夏,  Ningxia       ,336,211,125,94,79,163
 新疆,  Xinjiang      ,1273,692,581,481,161,631
