1-17  城镇登记失业人数及失业率(年末数),Unnamed: 1,Unnamed: 2,Unnamed: 3
"Registered Unemployed Persons and Registered Unemployment Rate 
in Urban Areas (year-end)",,,
,,,
"年  份

Year",城镇登记失业人数(万人),比上年增长(%),城镇登记失业率(%)
,Registered Unemployed Persons in,Increase over Preceeding Year,Registered Unemployment 
,Urban Areas (10 000 persons),(%),Rate in Urban Areas (%)
 , , , 
 1978,530,  ,5.3
 1979,567.6,7.1,5.4
 1980,541.5,-4.6,4.9
 , , , 
 1981,439.5,-18.8,3.8
 1982,379.4,-13.7,3.2
 1983,271.4,-28.5,2.3
 1984,235.7,-13.2,1.9
 1985,238.5,1.2,1.8
 , , , 
 1986,264.4,10.9,2
 1987,276.6,4.6,2
 1988,296.2,7.1,2
 1989,377.9,27.6,2.6
 1990,383.2,1.4,2.5
 , , , 
 1991,352.2,-8.1,2.3
 1992,363.9,3.3,2.3
 1993,420.1,15.4,2.6
 1994,476.4,13.4,2.8
 1995,519.6,9.1,2.9
 , , , 
 1996,552.8,6.3,3
 1997,576.8,4.3,3.1
 1998,571,-1,3.1
 1999,575,0.7,3.1
 2000,595,3.5,3.1
 2001,681,14.4,3.6
 2002,770,13.1,4
 2003,800,3.9,4.3
 2004,827,3.4,4.2
 2005,839,1.5,4.2
 , , , 
 2006,847,0.953516090584029,4.1
 2007,830,-2,4
 2008,886,6.7,4.2
 2009,921,4,4.3
 2010,908,-1.41150922909881,4.1
 , , , 
 2011,922,1.54185022026432,4.1
 2012,917,-0.542299349240781,4.1
 2013,926,1,4.05
 2014,952,2.8,4.09
 2015,966,1.5,4.05
 2016,982,1.65631469979296,4.02
2017,972,-1,3.9
2018,974,0.2,3.8
2019,945,-2.97741273100616,3.62
2020,1160,22.75132275132275,4.24
2021,1040,-10.3,3.96
2022,1203,15.7,—
