数据库：分省年度数据
指标：人口数(人口抽样调查)(人)
时间：最近10年
地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
北京市,,22372,23185,,16666,17673,17801,18132,335775,17757
天津市,,13959,14541,,12095,12794,12778,13046,239370,12517
河北省,,76002,78885,,59087,61907,62086,62750,1155542,60936
山西省,,35655,36863,,29012,30481,30550,30910,569491,30107
内蒙古自治区,,24595,25418,,19744,20781,20849,21136,390222,20671
辽宁省,,42990,44797,,33800,35744,35969,36668,680859,36236
吉林省,,24045,25158,,20939,22173,22424,22945,428511,22715
黑龙江省,,31744,33098,,29177,30946,31251,31874,592705,31632
上海市,,25347,26365,,18785,19877,19826,20188,373956,20019
江苏省,,87223,90085,,62652,65996,66100,66998,1238192,65692
浙江省,,67369,69273,,45420,47034,46573,46831,859773,45456
安徽省,,62763,64744,,49562,51812,51658,52056,955845,50201
福建省,,42900,44352,,30869,32309,32221,32474,596224,31409
江西省,,46380,47847,,36318,38080,38163,38576,710552,37486
山东省,,104093,107712,,78318,82408,82502,83464,1530763,80788
河南省,,101113,104679,,75087,78679,79005,80140,1476154,77873
湖北省,,59860,61748,,46101,48498,48684,49384,909271,47997
湖南省,,67649,70141,,53851,56516,56647,57310,1056139,55600
广东省,,129642,134340,,89429,93024,91922,92107,1681666,88503
广西壮族自治区,,51699,53347,,38653,40353,40385,40677,747093,39232
海南省,,10515,10800,,7350,7658,7640,7698,141596,7456
重庆市,,32914,34019,,24274,25416,25337,25560,468563,24687
四川省,,85772,88670,,65230,68344,68609,69457,1277289,67179
贵州省,,39500,40798,,28245,29487,29612,29915,550172,28950
云南省,,48066,49677,,37874,39584,39709,40141,738612,38902
西藏自治区,,3730,3873,,2743,2817,2797,2789,50634,2620
陕西省,,40518,41876,,30158,31684,31649,32014,589346,31155
甘肃省,,25529,26368,,20642,21614,21720,21960,404863,21381
青海省,,6094,6289,,4733,4945,4939,4987,91611,4814
宁夏回族自治区,,7460,7678,,5404,5638,5627,5666,103820,5460
新疆维吾尔自治区,,26497,27427,,19660,20375,20210,20165,367631,18969
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
