1-29  分地区按行业分城镇私营单位就业人员平均工资(2022年),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,
Average Wage of Employed Persons in Urban Private Units by Sector and Region (2022),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
单位：元,,,,,,,,,,,,,,,,,,,,(yuan),
地  区,Region,,农、林、,采 矿 业,制 造 业,电力、热力、,建 筑 业,批发和零售业,交通运输、,住宿和餐饮业,信息传输、,金融业,房地产业,租赁和商务,科学研究,水利、环境,居民服务、,教    育,卫生和,文化、体育,
,,合  计,牧、渔业,,,燃气及水生产,,,仓储和邮政业,,软件和信息,,,服  务  业,和技术,和公共设施,修理和其他,,社会工作,和娱乐业,
,,,,,,和供应业,,,,,技术服务业,,,,服务业,管  理  业,服 务 业,,,,
,,,"Agriculture,",Mining,Manufacturing,Production,Construction,,,,,,,,Scientific,Management,Services to,Education,Health,"Culture,",
,,,"Forestry,",,,and Supply,,Wholesale,"Transport,",Hotels,Information,Financial,Real Estate,Leasing,Research and,of Water,"Households,",,and Social,Sports,
,,Total,Animal,,,"of Electricity,",,and,Storage,and,"Transmission,",Intermediation,,and,Technical,"Conservancy,",Repair and,,Service,and,
,,,Husbandry,,,"Heat, Gas",,Retail,and Post,Catering,Software and,,,Business,Services,Environment,Other,,,Entertainment,
,,,and Fishery,,,and Water,,Trades,,Services,Information,,,Services,,and Public,Services,,,,
,,,,,,,,,,,Technology,,,,,Facilities,,,,,
,,,,,,,,,,,,,,,,,,,,,
全国,National Average,65237,42605,68509,67352,61870,60918,60630,66059,47547,123894,110304,56435,65731,81569,44714,47760,52771,71060,56769,
,,,,,,,,,,,,,,,,,,,,,
北京,Beijing,104542,68461,128031,113420,77032,73741,90280,71657,61662,180047,186401,64097,95323,129217,66556,52206,113205,106581,98473,
天津,Tianjin,67258,67186,97623,69453,71738,58558,73059,72277,49651,108180,125753,57806,66371,83705,36828,45776,60496,63900,63950,
河北,Hebei,48494,38758,50118,53220,54209,46134,44007,54885,38127,54793,79586,43360,43964,54072,29711,35485,46019,52974,42794,
山西,Shanxi,47275,37043,62705,51623,48127,48591,44423,50841,35381,52785,73989,37354,44447,53261,34358,35047,39945,45381,34611,
内蒙古,Inner Mongolia,52318,50454,83634,62132,60006,54193,49017,54080,42043,59292,91032,39815,56537,56841,35817,40286,35476,47523,39834,
                       ,,,,,,,,,,,,,,,,,,,,,
辽宁,Liaoning,52183,49275,55702,56287,56086,50550,49492,53282,40468,83165,37278,44034,48669,59921,39126,39683,39976,56787,39726,
